date,gross_return,turnover,transaction_cost,return,growth_of_1,drawdown,fund,family,method,periods_per_year,estimation_window,cost_bps
2021-01-04,-0.013701064199660194,0.0,0.0,-0.013701064199660194,0.9862989358003398,0.0,Equity Equal Weight,Equity,Equal Weight,252,252,10.0
2021-01-05,0.012741623294831668,0.0,0.0,0.012741623294831668,0.998865985296401,0.0,Equity Equal Weight,Equity,Equal Weight,252,252,10.0
2021-01-06,0.013716586163369607,0.0,0.0,0.013716586163369607,1.0125670166493783,0.0,Equity Equal Weight,Equity,Equal Weight,252,252,10.0
2021-01-07,0.00979755852435766,0.0,0.0,0.00979755852435766,1.0224877012548348,0.0,Equity Equal Weight,Equity,Equal Weight,252,252,10.0
2021-01-08,0.0025391197143721156,0.0,0.0,0.0025391197143721156,1.0250839199347939,0.0,Equity Equal Weight,Equity,Equal Weight,252,252,10.0
2021-01-11,0.00024143705130121593,0.0,0.0,0.00024143705130121593,1.0253314131737592,0.0,Equity Equal Weight,Equity,Equal Weight,252,252,10.0
2021-01-12,0.004053146990521044,0.0,0.0,0.004053146990521044,1.029487232105351,0.0,Equity Equal Weight,Equity,Equal Weight,252,252,10.0
2021-01-13,-0.0003666870544489757,0.0,0.0,-0.0003666870544489757,1.0291097324646175,-0.00036668705444897753,Equity Equal Weight,Equity,Equal Weight,252,252,10.0
2021-01-14,0.004186892503517239,0.0,0.0,0.004186892503517239,1.0334185042887702,0.0,Equity Equal Weight,Equity,Equal Weight,252,252,10.0
2021-01-15,-0.012468237405141813,0.0,0.0,-0.012468237405141813,1.0205335970384313,-0.012468237405141802,Equity Equal Weight,Equity,Equal Weight,252,252,10.0
2021-01-19,0.007686465686841389,0.0,0.0,0.007686465686841389,1.028377893514336,-0.004877608397290456,Equity Equal Weight,Equity,Equal Weight,252,252,10.0
2021-01-20,0.007530881578070001,0.0,0.0,0.007530881578070001,1.0361224856478974,0.0,Equity Equal Weight,Equity,Equal Weight,252,252,10.0
2021-01-21,-0.008091989758853557,0.0,0.0,-0.008091989758853557,1.0277381931051166,-0.008091989758853724,Equity Equal Weight,Equity,Equal Weight,252,252,10.0
2021-01-22,-0.0032570650886820864,0.0,0.0,-0.0032570650886820864,1.0243907829160488,-0.011322698710194201,Equity Equal Weight,Equity,Equal Weight,252,252,10.0
2021-01-25,0.0017190661049002161,0.0,0.0,0.0017190661049002161,1.026151778389132,-0.009623097072862574,Equity Equal Weight,Equity,Equal Weight,252,252,10.0
2021-01-26,-0.005633202476990918,0.0,0.0,-0.005633202476990918,1.0203712576493418,-0.015202090695586312,Equity Equal Weight,Equity,Equal Weight,252,252,10.0
2021-01-27,-0.02568990468095619,0.0,0.0,-0.02568990468095619,0.9941580173011427,-0.040501455115621754,Equity Equal Weight,Equity,Equal Weight,252,252,10.0
2021-01-28,0.010414456904308634,0.0,0.0,0.010414456904308634,1.0045116331283983,-0.030508798870176546,Equity Equal Weight,Equity,Equal Weight,252,252,10.0
2021-01-29,-0.014843771101669807,0.0,0.0,-0.014843771101669807,0.9896008923772759,-0.04489970434483059,Equity Equal Weight,Equity,Equal Weight,252,252,10.0
2021-02-01,0.008517686014717274,0.025333838004933662,2.533383800493366e-05,0.00849235217671234,0.9980049316697326,-0.036788656270044684,Equity Equal Weight,Equity,Equal Weight,252,252,10.0
2021-02-02,0.017461368582400643,0.0,0.0,0.017461368582400643,1.0154314636286712,-0.019969667974426675,Equity Equal Weight,Equity,Equal Weight,252,252,10.0
2021-02-03,0.001869028892936623,0.0,0.0,0.001869028892936623,1.0173293343729901,-0.0181379629679167,Equity Equal Weight,Equity,Equal Weight,252,252,10.0
2021-02-04,0.009279172224145423,0.0,0.0,0.009279172224145423,1.0267693084753122,-0.009027096025945758,Equity Equal Weight,Equity,Equal Weight,252,252,10.0
2021-02-05,0.006292140440644191,0.0,0.0,0.006292140440644191,1.033229885164382,-0.0027917553412680762,Equity Equal Weight,Equity,Equal Weight,252,252,10.0
2021-02-08,0.013472894033687228,0.0,0.0,0.013472894033687228,1.0471504819196404,0.0,Equity Equal Weight,Equity,Equal Weight,252,252,10.0
2021-02-09,-0.0028566363844635123,0.0,0.0,-0.0028566363844635123,1.0441591537529802,-0.002856636384463651,Equity Equal Weight,Equity,Equal Weight,252,252,10.0
2021-02-10,0.0018380613809191849,0.0,0.0,0.0018380613809191849,1.046078382369027,-0.0010238256765618958,Equity Equal Weight,Equity,Equal Weight,252,252,10.0
2021-02-11,-0.0011448702812422444,0.0,0.0,-0.0011448702812422444,1.0448807583172026,-0.0021675238102139005,Equity Equal Weight,Equity,Equal Weight,252,252,10.0
2021-02-12,0.00456925706778937,0.0,0.0,0.00456925706778937,1.0496550871071406,0.0,Equity Equal Weight,Equity,Equal Weight,252,252,10.0
2021-02-16,0.0013897038414903639,0.0,0.0,0.0013897038414903639,1.0511137968139332,0.0,Equity Equal Weight,Equity,Equal Weight,252,252,10.0
