fund,family,method,first_live_date,last_live_date,annual_return,annual_volatility,sharpe_ratio,maximum_drawdown,final_growth_of_1,observations,periods_per_year,estimation_window,rebalance_frequency,risk_free_rate,cost_bps,average_turnover
Combined Equal Weight,Combined,Equal Weight,2021-01-04,2023-12-29,0.15083505709578948,0.21599479084693915,0.7587457113342476,-0.2790308989230833,1.5216434569216144,753,252,252,monthly,0.0,10.0,0.03857279968817221
Combined Minimum Variance,Combined,Minimum Variance,2021-01-04,2023-12-29,0.05350382328053027,0.1258334825182284,0.47713651973323723,-0.1549187294669111,1.1685273199627235,753,252,252,monthly,0.0,10.0,0.12752039754416333
Combined Risk Parity,Combined,Risk Parity,2021-01-04,2023-12-29,0.13911917268078944,0.16207478052698376,0.8848896376296544,-0.19495694177534595,1.4758222117837072,753,252,252,monthly,0.0,10.0,0.037471375897962525
Crypto Equal Weight,Crypto,Equal Weight,2021-01-01,2023-12-31,0.4040798639332337,0.8188973490443414,0.8279587713248152,-0.8158915066664059,2.7680595780547295,1095,365,365,monthly,0.0,10.0,0.05949408815909133
Crypto Minimum Variance,Crypto,Minimum Variance,2021-01-01,2023-12-31,0.6132365318662318,0.763010543888319,1.0107003212536827,-0.734826139813221,4.198499871573556,1095,365,365,monthly,0.0,10.0,0.1150973366890307
Crypto Risk Parity,Crypto,Risk Parity,2021-01-01,2023-12-31,0.4421368765215872,0.7990891101853917,0.86173387224451,-0.7992150869623549,2.9992968173852628,1095,365,365,monthly,0.0,10.0,0.06434645433135298
Equity Coverage-Aware Sentiment,Equity,Coverage-Aware Sentiment,2021-01-04,2023-12-29,0.037560229428901915,0.12628159847573742,0.35513404649669333,-0.15216842297027255,1.1164758020612333,753,252,252,monthly,0.0,10.0,0.236306337057252
Equity Equal Weight,Equity,Equal Weight,2021-01-04,2023-12-29,0.12606610227203108,0.16117158563939468,0.8173545417321548,-0.2026392695082394,1.425863000792807,753,252,252,monthly,0.0,10.0,0.027239281912380234
Equity Minimum Variance,Equity,Minimum Variance,2021-01-04,2023-12-29,0.053690106957096306,0.12562227368567125,0.4791328437021747,-0.15345854898747457,1.1691448361188577,753,252,252,monthly,0.0,10.0,0.1261963126430456
Equity Risk Parity,Equity,Risk Parity,2021-01-04,2023-12-29,0.09874411973144648,0.1453911295728844,0.7204413524766047,-0.185076028019715,1.3249601840498642,753,252,252,monthly,0.0,10.0,0.03139130260119599
